StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,ExternalReference,DistributionChannel,UserLanguage,demo_1,demo_2,demo_3,demo_4,demo_5,TAS_1,TAS_2,TAS_3,TAS_4,TAS_5,TAS_6,TAS_7,TAS_8,TAS_9,TAS_10,TAS_11,TAS_12,TAS_13,TAS_14,TAS_15,TAS_16,TAS_17,TAS_18,TAS_19,TAS_20,TAS_21,TAS_22,TAS_23,TAS_24,TAS_25,TAS_26,TAS_27,TAS_28,TAS_29,TAS_30,TAS_31,TAS_32,TAS_33,TAS_34,M5_1,M5_2,M5_3,M5_4,M5_5,M5_6,M5_7,M5_8,M5_9,M5_10,M5_11,M5_12,M5_13,M5_14,M5_15,M5_16,M5_17,M5_18,M5_19,M5_20,M5_21,M5_22,M5_23,M5_24,M5_25,M5_26,M5_27,M5_28,M5_29,M5_30,M5_31,M5_32,M5_33,M5_34,M5_35,M5_36,M5_37,M5_38,M5_39,M5_40,M5_41,M5_42,M5_43,M5_44,M5_45,M5_46,M5_47,M5_48,M5_49,M5_50,Time_1,Time_2,Time_3,GamesGeneral_2,GamesGeneral_3,GamesGeneral_4,GamesGeneral_5,GamesGeneral_6,GamesGeneral_7,GamesGeneral_8,GamesGeneral_9,GamesGeneral_10,GamesGeneral_11,GamesGeneral_12,GamesGeneral_13,GamesGeneral_14,GamesGeneral_15,GamesGeneral_16,GamesGeneral_17,GamesGeneral_18,GamesGeneral_19,GamesGeneral_20,GamesGeneral_21,GamesGeneral_22,GamesGeneral_23,GamesDFS_1,GamesDFS_2,GamesDFS_3,GamesDFS_4,GamesDFS_5,GamesDFS_6,GamesDFS_7,GamesDFS_8,GamesDFS_9,GamesSOARS_1,GamesSOARS_2,GamesSOARS_3,GamesSOARS_4,GamesSOARS_5,GamesSOARS_6,GamesSOARS_7,GamesSOARS_8,GamesSOARS_9,GamesSOARS_10,GamesPresence_2,GamesPresence_3,GamesPresence_4,GamesITC_1,GamesITC_2,GamesITC_3,GamesITC_4,GamesITC_5,GamesITC_6,GamesITC_7,GamesITC_8,GamesITC_9,GamesITC_10,GamesITC_11,GamesITC_12,GamesITC_13,GamesITC_14,GamesITC_15,GamesITC_16,GamesITC_17,GamesITC_18,GamesITC_19,GamesITC_20,GamesITC_21,GamesITC_22,GamesITC_23,GamesITC_24,GamesITC_25,GamesITC_26,GamesITC_27,GamesITC_28,GamesITC_29,GamesITC_30,GamesITC_31,GamesITC_32,GamesITC_33,GamesITC_34,GamesITC_35,GamesITC_36,GamesITC_37,GamesITC_38,GamesITC_39,GamesITC_40,GamesITC_41,GamesITC_42,GamesITC_43,GamesITC_44,MoviesGeneral_2,MoviesGeneral_3,MoviesGeneral_4,MoviesGeneral_5,MoviesGeneral_6,MoviesGeneral_7,MoviesGeneral_8,MoviesGeneral_9,MoviesGeneral_10,MoviesGeneral_11,MoviesGeneral_12,MoviesGeneral_13,MoviesGeneral_14,MoviesGeneral_15,MoviesGeneral_16,MoviesGeneral_17,MoviesGeneral_18,MoviesGeneral_19,MoviesGeneral_20,MoviesGeneral_21,MoviesGeneral_22,MoviesGeneral_23,MoviesDFS_1,MoviesDFS_2,MoviesDFS_3,MoviesDFS_4,MoviesDFS_5,MoviesDFS_6,MoviesDFS_7,MoviesDFS_8,MoviesDFS_9,MoviesSOARS_1,MoviesSOARS_2,MoviesSOARS_3,MoviesSOARS_4,MoviesSOARS_5,MoviesSOARS_6,MoviesSOARS_7,MoviesSOARS_8,MoviesSOARS_9,MoviesSOARS_10,MoviesPresence_2,MoviesPresence_3,MoviesPresence_4,MoviesITC_1,MoviesITC_2,MoviesITC_3,MoviesITC_4,MoviesITC_5,MoviesITC_6,MoviesITC_7,MoviesITC_8,MoviesITC_9,MoviesITC_10,MoviesITC_11,MoviesITC_12,MoviesITC_13,MoviesITC_14,MoviesITC_15,MoviesITC_16,MoviesITC_17,MoviesITC_18,MoviesITC_19,MoviesITC_20,MoviesITC_21,MoviesITC_22,MoviesITC_23,MoviesITC_24,MoviesITC_25,MoviesITC_26,MoviesITC_27,MoviesITC_28,MoviesITC_29,MoviesITC_30,MoviesITC_31,MoviesITC_32,MoviesITC_33,MoviesITC_34,MoviesITC_35,MoviesITC_36,MoviesITC_37,MoviesITC_38,MoviesITC_39,MoviesITC_40,MoviesITC_41,MoviesITC_42,MoviesITC_43,MoviesITC_44,Condition
23/04/2016 12:51,23/04/2016 13:23,0,100,1928,1,23/04/2016 13:24,R_1EiI2U1HRenXZlS,NA,anonymous,EN,3,1,3,australia,2,0,1,1,0,0,1,1,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,5,5,1,5,1,4,1,5,4,4,1,1,2,4,1,1,2,3,4,1,5,1,5,4,4,1,5,1,1,1,1,2,1,1,4,2,5,2,4,5,5,2,5,5,2,1,4,4,4,1,5,4,4,The Last of Us,Post-viral-apocalypse adventure,A 45 year old man escorts a teenage girl across a decimated America to find the cure for what's gone wrong with the world.,4,12,NA,NA,NA,1,NA,NA,1,1,NA,"Joel is a 45 year old man, haunted by the death of his daughter.
Elly is a teenage girl who may be the cure for the viral apolocalypse",Good.,"Joel escorts Elly across America, protecting her from harm. When Joel gets in trouble, Elly protects him.",2,1,5,4,1,4,3,3,3,3,3,3,3,3,6,6,6,6,6,2,2,6,6,2,6,3,6,3,2,2,4,4,5,4,4,4,4,4,4,1,5,4,1,4,5,4,1,1,3,4,2,5,4,1,1,1,1,1,1,2,1,1,4,1,5,4,1,5,2,1,5,Broadchurch,British crime drama,Two detectives investigate the murder of a boy in a small seaside community.,2,2,NA,NA,NA,1,NA,NA,1,1,NA,"1. A harsh and abrupt troubled senior detective, new to the town. Single.
2. A junior detective resident of the town, with a family.",Good.,Solve the murder.,2,1,2,1,1,4,3,4,4,2,3,3,3,3,1,6,4,6,4,4,6,6,5,2,1,1,4,3,1,1,4,4,5,4,4,4,1,4,2,1,5,3,1,5,1,1,1,1,1,4,1,1,5,1,1,1,1,1,1,1,1,1,5,1,5,1,1,1,1,1,1,2
23/04/2016 14:43,23/04/2016 15:13,0,100,1831,1,23/04/2016 15:13,R_byhSsfaUTMTt2RH,NA,anonymous,EN,2,1,3,usa,1,1,1,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,5,5,3,4,1,4,1,3,1,5,1,1,1,4,1,2,1,2,4,3,4,2,5,5,4,1,4,3,5,3,1,1,5,1,4,1,5,1,5,5,4,5,5,5,1,1,4,5,5,2,2,5,4,The division,Team based shooter,a virus has taken over New york and you are trying to save people and worked out how it spread,5.1,42,NA,NA,1,1,NA,NA,NA,NA,1,"Its me , i am a agent working out these problems",good he is a hero,kill baddies... i would love to say there is more to it but it is really just a shooter and loot collection game ..,2,5,2,1,1,4,5,4,4,3,3,3,3,3,6,5,6,7,5,4,2,5,2,1,5,4,4,3,1,4,5,5,5,4,4,4,4,4,4,3,5,4,5,3,2,3,1,1,5,5,1,3,2,4,1,3,4,5,1,2,1,1,3,4,4,5,2,4,3,1,4,Unbreakable Kimmy shmit,Comedy,a woman who has spent the last 9 years in a fall out shelter adjusts to NYC living,7,55,1,1,1,NA,1,NA,1,NA,NA,Kimmy shimt a warm hearten good intention idiot,GOOOD GOOD GOOD,she has to learn how to be a women with deep problems and live a normal life despite these,5,1,2,1,6,4,5,4,3,3,3,4,3,3,4,2,5,4,4,4,5,6,6,1,5,2,1,4,1,4,5,5,5,4,4,4,2,4,4,3,5,2,1,4,4,2,1,3,3,4,2,1,1,1,1,1,1,1,1,1,1,1,4,5,5,3,1,1,1,1,1,1
23/04/2016 14:43,23/04/2016 16:22,0,100,5957,1,23/04/2016 16:22,R_2cCROvnBEUmzi8G,NA,anonymous,EN,2,1,1,australia,3,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0,5,4,2,4,2,1,1,2,5,5,3,4,2,5,3,2,4,1,4,4,4,1,3,4,4,4,4,2,3,1,4,1,4,2,4,4,5,2,4,5,5,3,4,4,2,1,4,4,4,2,4,5,4,Metal Gear Solid 5,Stealth Action Espionage,A highly decorated soldier of fortune takes on a mission against a greater more powerful enemy that is building a highly advanced next generation walking tank.,2,12,NA,NA,NA,1,NA,NA,1,NA,NA,"Snake is a well decorated war hero that has saved the world previously, he shunned the government and forms his own private milita fighting for ideals and against the larger more powerful hidden enemy that secretly controls the world.","The Character in essence is good, but is torn from a morally bad place and sense of duty to the greater good, the methods used vary the by the players actions more than the character, as you can choose to kill or use non-lethal methods.","The Character has to take on many missions such as freeing hostages, discovering intel, fighting against more powerful characters and supernatural elements.",5,3,5,4,5,4,4,4,4,4,4,4,4,4,5,6,5,5,5,5,5,6,3,4,6,4,3,2,2,2,4,4,4,4,4,5,4,4,3,3,4,4,2,4,4,4,1,4,4,4,4,4,4,2,2,3,5,5,1,4,1,5,4,3,5,4,4,4,4,1,4,Daredevil TV series,Action/Comicbook,"The main protaganist is blinded from a young age, using his lack of sight and heightened senses he fights crime as DareDevil a masked vigilante protecting Hells Kitchen. By day he is a lawyer with a sense of justice and fights for the little guy and accepts payment with whatever the client can provide.",2,11,NA,NA,NA,1,NA,NA,1,NA,NA,"Matt Murdoch, blind from a young age, his father was a boxer that was killed for not throwing a fight, led him to seek a career of justice and fairness as a lawyer. Since he lost his sight he has increased other senses such as hearing and uses these skills to fight crime as Daredevil","The Character is good, his intentions are based on a catholic influence and justice of the legal system.","Fighting crime at night as a masked fighter, during the day a lawyer fighting in the courtroom.",5,3,3,3,5,4,4,4,4,4,3,3,5,4,4,4,5,5,5,4,4,6,3,4,5,4,4,4,2,3,4,4,4,4,3,5,2,4,3,2,4,3,2,4,3,2,2,3,4,4,3,3,4,1,2,2,5,4,1,3,3,4,4,4,5,2,2,2,4,1,2,1
25/04/2016 13:19,25/04/2016 13:54,0,100,2084,1,25/04/2016 13:54,R_3PQOSFijxxVttma,NA,anonymous,EN,4,2,3,australia,3,0,0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1,1,0,1,0,0,0,1,0,0,5,4,2,1,1,1,2,5,4,4,4,4,1,2,2,3,2,1,2,1,4,2,4,4,1,2,4,3,2,3,4,1,4,1,4,1,3,1,4,5,4,3,4,4,3,1,4,3,3,1,3,4,4,The Room,Puzzle,Looking for components to achieve a goal,2,6,1,NA,NA,NA,NA,NA,NA,1,NA,"Various, depends what others are playing at the time.  Say Desmond Assassin's Creed","Neither, or both","Assassination missions an side missions, choose action or stealth, enjoy the ability to move around a very detailed scene, listen to endless historical interludes.",2,1,3,3,1,3,2,2,2,2,2,3,3,2,6,2,3,4,5,3,4,4,4,3,7,6,2,3,3,3,3,4,4,4,4,4,4,4,5,2,4,4,2,2,4,4,3,2,2,2,3,3,4,2,2,4,4,2,2,4,2,4,4,3,4,4,3,2,3,2,4,Utopia,Satire,Australian bureaucrats,2,2,NA,NA,NA,1,NA,NA,NA,1,NA,Project manager,good,Develop projects,6,1,2,2,5,5,5,5,5,5,5,5,5,3,1,1,1,7,1,7,7,6,7,1,1,5,1,4,2,2,4,4,4,1,2,4,1,4,4,1,4,1,1,4,1,1,1,4,2,2,1,1,4,1,1,1,4,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1
27/04/2016 17:08,27/04/2016 17:34,0,100,1557,1,27/04/2016 17:34,R_74EENjQZ8TP3QAh,NA,anonymous,EN,1,1,3,australia,2,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,5,3,2,4,2,2,1,4,4,3,2,2,3,3,3,2,4,1,2,2,4,1,4,4,4,2,4,2,5,3,4,2,2,4,5,4,4,2,5,4,5,1,5,4,4,2,4,3,4,2,4,5,2,Batman: Arkham City,Adventure/Action,"Dr. Strange has turned a part of gotham city into a 'city prison', he captures Bruce Wayne and throws him into the city. You as Batman are tasked with finding out what is happening and fighting against various super villains in Arkham City.",5.5,30,NA,NA,1,NA,NA,NA,1,NA,NA,"Batman: A rich protganoist who lost his parents at a young age, decided to combat crime, spent his life training and now fights villains of Gothm City
Joker: An insane clown who likes to torment Batman and the people of gotham with crimes themed around jokes
Harley Quinn: A psychologist turned insane and is now in love with the Koker
Dr. Strange: A psychologist turned evil who kidnaps Bruce Wayne and wants to understand why he became the batman
Catwomen: A thief with an affiliation for cats who is a thief","Batman + Catwomen: Good
Joker, Quinn, Strange: bad","Batman is required to go around the city and fight against this villains, solve riddles, save people",3,3,5,3,6,4,5,4,4,5,5,3,4,5,2,7,6,6,6,1,6,6,4,2,2,3,7,1,2,5,3,4,4,4,4,5,3,4,5,2,5,4,1,3,5,1,1,4,2,5,4,2,2,1,1,1,3,3,1,1,1,1,3,1,5,4,2,2,3,1,4,Criminal minds,crime,A team of criminal psychologists/FBI agents at the BAU investigate and profile serial killings/killings around the US.,4,13,NA,1,NA,NA,NA,NA,1,NA,NA,"Morgan: Tough strong protector who sometimes struggles with his past
Reid: very smart but physically weak who suffers from family mental illness
Hodge: Team leader, very business like and formal, but cares for his family and team
JJ: A new profiler who provides a motherly role to Reid sometimes and is very knowledge on how to handle media relations
Garcia: A quirky computer analyst
",The characters are good,"The characters are required to analyse the crime, provide a profile and catch the killer.",5,3,5,2,7,3,3,3,3,4,1,4,3,4,5,2,2,4,5,3,4,7,4,1,4,1,2,4,2,3,5,2,4,4,4,4,1,4,5,1,4,2,1,5,2,1,1,4,2,4,3,1,5,1,1,1,2,2,1,2,1,1,4,2,5,1,1,1,1,1,1,1
17/05/2016 11:04,17/05/2016 11:30,0,100,1607,1,17/05/2016 11:30,R_27VSWT32V8oRZyI,NA,anonymous,EN,4,2,2,australia,3,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,5,5,1,4,1,4,4,5,2,2,5,2,2,2,1,4,4,3,4,1,2,1,4,4,1,2,1,4,1,2,4,1,3,1,4,2,4,2,2,4,5,1,5,4,2,1,4,2,4,2,3,4,4,Assassin's Creed: Syndicate,action open world,Brother and sister assassins must battle the Templars in Victorian London,6,30,NA,NA,NA,1,NA,NA,NA,1,NA,"Evie is one of the two main characters. She is physically and mentally strong, she seeks to help those in need rather than consolidate her own position. She is very mission focussed and prefers to deal with problems immediately. She is too respectul of her father's ideas and teachings, to the point of her own detriment.","Good, with a strong moral compass","Protect others, kill targets, recover hidden artefacts",5,5,7,7,7,4,4,5,4,5,4,4,4,5,6,7,7,7,7,2,5,7,6,1,7,7,7,3,2,4,5,5,5,4,4,5,5,5,5,4,5,5,1,4,5,5,1,4,5,5,5,4,4,1,4,4,5,4,1,4,4,3,5,5,5,5,4,5,5,1,5,The Hobbit: An Unexpected Journey,Fantasy,"A hobbit goes on an adventure with some dwarves, to help reclaim the dwarves' home from a dragon.",0.5,2,NA,NA,NA,1,NA,NA,NA,1,NA,Thorin Oakenshield,"More good than bad, but conflicted","Lead the others, but also become more accepting of the ""failures"" of others",2,1,2,1,2,3,2,3,4,4,3,3,3,4,3,2,2,6,3,5,6,7,6,2,5,5,6,3,2,2,4,4,4,4,4,4,3,4,3,3,5,3,2,4,3,2,1,1,3,4,3,3,3,1,2,1,4,2,1,3,2,4,4,4,5,1,2,1,1,1,1,2
18/05/2016 15:37,18/05/2016 16:28,0,100,3089,1,18/05/2016 16:28,R_2wsETeU8JFxSn3g,NA,anonymous,EN,1,1,1,australia,4,0,1,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,5,3,1,5,1,4,5,3,2,1,4,4,3,5,2,4,5,4,4,3,2,1,5,4,1,2,1,4,2,2,5,4,4,3,3,5,2,4,2,5,5,1,5,4,5,3,2,2,1,4,3,5,4,Fallout 4,Action rpg,"Open ended, find your kidnapped son in the ruins of Boston after a nuclear nuclear war",3,5,NA,NA,NA,1,NA,NA,1,NA,NA,A female investigative reporter trying to expose a spate of kidnapping,More good,"Open ended, but can be required to kill people if she travels with the player character. Travels the wasteland with the player.",6,1,2,2,5,5,3,4,5,3,4,3,3,4,2,6,4,6,6,2,5,6,4,2,5,1,5,4,2,3,4,4,4,4,4,4,4,4,3,2,4,4,2,3,4,4,2,2,3,4,4,3,1,3,2,3,4,3,2,3,2,2,4,2,4,4,2,4,3,2,4,House of Cards,Drama,Congressman and his wife scheme to take control of the presidency,1,2,NA,NA,1,NA,NA,NA,1,NA,NA,"Frank Underwood, machiavelian congressman who lies and betrays in order to gain political power.",Definitely more bad,"Forced into morally dark places to save his career, resorts to murder.",1,2,5,2,3,4,4,3,3,4,4,3,3,4,1,6,6,6,6,2,6,6,4,4,4,3,3,5,2,4,5,5,5,4,3,4,2,4,4,4,5,4,2,4,4,2,1,4,4,4,4,2,4,3,2,4,4,2,2,4,2,2,4,2,4,2,4,1,2,2,4,1
18/05/2016 16:26,18/05/2016 16:42,0,100,966,1,18/05/2016 16:42,R_1mdZvRjy9Jy5Fnq,NA,anonymous,EN,2,1,1,australia,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,5,5,1,5,1,5,1,1,5,5,5,1,5,1,1,5,1,5,5,1,1,1,5,3,1,1,5,5,1,1,1,3,4,3,3,1,5,3,5,5,5,5,5,5,1,1,3,5,5,4,1,5,5,Final Fantasy XIV,MMORPG,"Save the world, defeat the evil and live within the world.",7,37,NA,NA,NA,1,NA,NA,NA,NA,1,It's a character created experience so that would be my own character.,"Neither, as the decisions that are made are without any real choice making.","Save the world on a continuous basis, seemingly as though the entire world depends on this one person.",1,1,7,1,7,5,5,5,5,5,5,5,5,5,1,7,7,7,7,1,7,7,1,1,7,7,1,5,1,5,5,5,5,5,5,5,1,5,5,1,5,5,1,5,5,1,1,5,5,5,5,1,5,1,5,1,1,5,1,1,1,5,5,5,5,1,5,1,1,1,5,Fringe,Science Fiction,"FBI agents investigate a series of paranormal unexplained events (not aliens), similar to the way X-files did yet with more realistic explanations.",3,21,NA,NA,NA,1,NA,NA,1,NA,NA,"Eccentric, mostly insane and yet at times extremely empathetic man often skirting the line between good and bad, but always with good intentions.","Somewhat of an in between. Whilst some things the character has caused have been bad, they were always done only out of a specific emotional reason, never with the deliberate attempt to harm anyone.","Watch his son die from a disease, only to then pour his efforts into parallel dimensions and then proceeds to snatch the parallel version of his son to raise him, only to go through sacrifice after sacrifice in order to eventually right the mistakes he made in the beginning.",4,1,1,1,7,4,5,5,3,3,3,5,4,5,7,3,1,7,7,1,4,7,1,1,7,7,1,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,1,5,5,5,5,1,5,1,5,1,5,5,1,1,1,5,5,5,5,1,5,1,1,1,5,2
18/05/2016 16:34,18/05/2016 16:56,0,100,1341,1,18/05/2016 16:56,R_3HHX9pKVwtHbtld,NA,anonymous,EN,1,1,2,australia,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,4,3,2,5,4,1,3,1,3,4,1,4,5,3,5,1,1,3,3,4,5,3,4,3,4,3,4,2,4,2,2,3,4,3,4,2,4,2,4,5,4,4,4,3,3,2,3,4,4,3,3,5,5,Battlefield 4,First Person Shooter,"WAAR!! You are part of a team and have to complete objectives (take land, defeat enemies etc).",4.1,6,NA,NA,NA,NA,NA,1,NA,NA,1,I play multiplayer (so me?).,Good...huehuehue,"Kill, take objectives, troll enemies (i.e. laying down in front of an enemy sniper).",7,1,7,7,1,5,5,4,5,5,5,5,5,5,7,6,7,6,5,1,6,7,1,1,7,7,7,5,4,3,4,5,4,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,4,5,4,4,5,4,5,5,4,5,4,5,4,5,5,4,5,4,5,5,5,Game of Thrones!,Fantasy,"In my words, Game of Thrones is a show with a broad range of characters who carry their own individual and unique stories, many of whom are trying to gain more power for their own intentions (i.e. political/social position and so on).",1,1,NA,NA,NA,NA,NA,1,1,NA,NA,Jon Snow!,Good,"Jon Snow is currently the most influential character at Castle black (and was formerly the nights commander)  and is now moving his position towards re-taking Winter-fell (I would hope so). 

Very sorry for the spoilers if you haven't already seen it.",5,2,6,4,3,4,4,5,3,5,5,3,4,4,7,6,5,7,6,5,7,6,5,6,7,7,7,3,3,5,5,5,5,5,5,5,5,5,5,5,5,4,2,5,5,5,4,5,4,5,5,4,3,3,4,5,4,3,4,5,4,3,4,4,5,3,3,2,2,1,5,2
18/05/2016 17:01,18/05/2016 17:27,0,100,1541,1,18/05/2016 17:27,R_1K27HBYMtQc0V88,NA,anonymous,EN,1,1,1,australia,4,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,4,4,3,4,3,4,3,3,3,4,3,4,4,3,1,1,3,3,3,3,4,3,3,3,3,3,4,1,3,1,3,3,4,4,4,1,3,3,3,4,4,2,3,3,3,3,3,3,3,3,3,5,4,League of Legends,MOBA,5 people versus 5 people. 2 teams work together strategically to destroy the other teams base to win.,4.6,78,NA,NA,NA,NA,NA,1,NA,1,1,"There are too many, but one of them would be Vayne. A champion who has a high potential to win the game for team all by yourself.",Good. She kills bad people :3,Carry (win the game for the team) and do tonnes of damage :D,4,1,4,4,4,4,4,3,4,4,4,4,4,4,4,6,5,4,4,4,4,6,4,4,5,6,7,3,1,4,3,5,5,3,4,5,3,3,4,3,5,3,2,4,5,4,1,3,4,3,3,3,3,1,3,3,3,3,1,3,3,3,3,2,5,3,3,3,3,1,3,Game of Thrones,Fantasy ?,A lot of people want to rule the 7 kingdoms or something...,3,3,NA,NA,NA,1,NA,1,1,1,NA,Some pretty cool midget,Good,"Stay alive, no idea??",4,1,1,1,1,3,3,3,3,4,4,4,3,4,4,4,3,4,4,4,4,5,4,4,2,3,5,4,2,3,4,4,4,4,3,4,3,4,4,3,4,4,2,2,4,3,1,3,4,3,3,3,3,1,1,3,3,3,1,4,3,3,4,3,4,1,1,1,1,1,1,1
