ResponseId,Game,u_GameGenre,GameGenre,Movie,u_MovieGenre,MovieGenre
R_1EiI2U1HRenXZlS,The Last of Us,Post-viral-apocalypse adventure,Action,Broadchurch,British crime drama,crime
R_byhSsfaUTMTt2RH,The division,Team based shooter,FPS,Unbreakable Kimmy shmit,Comedy,comedy
R_2cCROvnBEUmzi8G,Metal Gear Solid 5,Stealth Action Espionage,Action,Daredevil TV series,Action/Comicbook,action/sh
R_3PQOSFijxxVttma,The Room,Puzzle,Puzzle,Utopia,Satire,comedy
R_74EENjQZ8TP3QAh,Batman: Arkham City,Adventure/Action,Action,Criminal minds,crime,action/sh
R_27VSWT32V8oRZyI,Assassin's Creed: Syndicate,action open world,Action,The Hobbit: An Unexpected Journey,Fantasy,fantasy
R_2wsETeU8JFxSn3g,Fallout 4,Action rpg,RPG,House of Cards,Drama,drama
R_1mdZvRjy9Jy5Fnq,Final Fantasy XIV,MMORPG,RPG,Fringe,Science Fiction,sci fi
R_3HHX9pKVwtHbtld,Battlefield 4,First Person Shooter,FPS,Game of Thrones!,Fantasy,fantasy
R_1K27HBYMtQc0V88,League of Legends,MOBA,MOBA,Game of Thrones,Fantasy ?,fantasy
R_DwYn5lDnI2V15Hb,Uncharted 4 - A thief's end,"Action Adventure, Third person shooted",Action,Doctor Who,Sci-fi,sci fi
R_UQm4ELKOTGBMRxL,Dota2,Moba,MOBA,Seinfeld,Sitcom,comedy
R_2Swu8HWGqavJYa6,Overwatch,A MOBA styled FPS,FPS,Captain America The Civil War,A superhero action movie,action/sh
R_24wP9x4BX9UXrPg,Counter Strike Global Offensive,"shooter, first person, action, team",FPS,Rams,indie,drama
R_3mZPUKwKUbR9BQs,Rocket League,Sports,Sports,Game of thrones,"Fantasy, Serial drama",fantasy
R_riLcyDLvqh7oPkt,Stardew Valley,RPG/Simulation,Strategy,Mr. Robot,Drama-Thriller,drama
R_0wwejUDiiZtXdSN,Overwatch,First Person Shooter,FPS,Once Upon a Time,Fantasy/Drama,fantasy
R_23pUfPsTfVBuiLD,Dota 2,Multiplayer online battle arena,MOBA,Deadpool,Action Comedy,action/sh
R_2ZQrmJHLA0e7r89,Shadow of Mordor,RPG - Action,Action,Ant-Man,Action,action/sh
