id,Games_DFS,Games_SOARS_Involuntariness,Games_SOARS_Effortlessness,Games_ITC_SpatialPresence,Games_ITC_Engagement,Games_ITC_EcologicalValidity,Games_ITC_NegativeEffects,Games_Presence,Games_CharIdentification,Games_TIME,Movies_DFS,Movies_SOARS_Involuntariness,Movies_SOARS_Effortlessness,Movies_ITC_SpatialPresence,Movies_ITC_Engagement,Movies_ITC_EcologicalValidity,Movies_ITC_NegativeEffects,Movies_Presence,Movies_CharIdentification,Movies_TIME
R_1EiI2U1HRenXZlS,3.111111111111111,14,22,2.5789473684210527,3.9230769230769234,3,1.1666666666666665,5,2.6,4,3.2222222222222223,19,31,1.1052631578947367,3.7692307692307696,3.2,1,2,1.4,4
R_byhSsfaUTMTt2RH,3.5555555555555554,14,23,3,4.307692307692308,2.4000000000000004,2.1666666666666665,4.333333333333333,2.2,5,3.5555555555555554,23,26,1.789473684210526,4.307692307692308,2.6,1,2.6666666666666665,3,4
R_2cCROvnBEUmzi8G,4,16,23,3.7368421052631575,3.8461538461538463,4,1.5,4.333333333333333,4.4,5,3.888888888888889,17,23,2.8421052631578947,4,3.6,1.5,4.333333333333333,3.8,4
R_3PQOSFijxxVttma,2.3333333333333335,21,19,3.2105263157894735,3.4615384615384617,3.2,2.333333333333333,5,2,4,4.777777777777778,35,34,1.1578947368421053,2.9230769230769234,3.4000000000000004,1.1666666666666665,2.3333333333333335,3.2,4
R_74EENjQZ8TP3QAh,4.333333333333333,10,30,2.4736842105263155,3.8461538461538463,2.8000000000000003,1.1666666666666665,4,4,5,3.111111111111111,22,25,1.3684210526315788,3.7692307692307696,4,1.1666666666666665,2.3333333333333335,4.4,2
R_27VSWT32V8oRZyI,4.333333333333333,11,28,4.526315789473684,4.615384615384616,4.2,1.1666666666666665,7,6.2,4,3.2222222222222223,28,30,2.3684210526315788,3.8461538461538463,3,1.3333333333333333,5.333333333333333,1.6,4
R_2wsETeU8JFxSn3g,3.7777777777777777,14,29,3.1578947368421053,3.8461538461538463,2.6,2.1666666666666665,3.6666666666666665,3.2,5,3.5555555555555554,12,29,2.789473684210526,4.307692307692308,4,2,3.3333333333333335,2.6,4
R_1mdZvRjy9Jy5Fnq,5,5,35,2.894736842105263,5,4.2,1,5,3.4,5,4.111111111111111,15,26,3.7368421052631575,5,4.2,1.3333333333333333,5,2.8,5
R_3HHX9pKVwtHbtld,4.888888888888889,8,27,4.7368421052631575,4.615384615384616,4.800000000000001,3.833333333333333,7,4.6,5,4.111111111111111,17,23,3.9473684210526314,4.6923076923076925,4.6000000000000005,2.833333333333333,7,4,5
R_1K27HBYMtQc0V88,3.888888888888889,17,22,3.1052631578947367,4,3.2,1.1666666666666665,6,3.4,5,3.4444444444444446,21,21,2.4736842105263155,3.7692307692307696,3.2,1.3333333333333333,3.3333333333333335,1.6,4
R_DwYn5lDnI2V15Hb,5,12,30,1.4736842105263157,4.6923076923076925,2,2.1666666666666665,3.3333333333333335,2.8,5,3.6666666666666665,19,29,1.2105263157894737,4.0769230769230775,1,1.8333333333333333,2.6666666666666665,2.6,4
R_UQm4ELKOTGBMRxL,3.7777777777777777,15,27,2.526315789473684,3.7692307692307696,2.2,1.8333333333333333,3,1.4,4,3.2222222222222223,18,26,2.263157894736842,3.6923076923076925,4.2,2,2,3.4,3
R_2Swu8HWGqavJYa6,3.7777777777777777,16,21,2.1578947368421053,3.6153846153846154,2.8000000000000003,1.6666666666666665,2,2.2,4,2.7777777777777777,20,19,2.052631578947368,3.307692307692308,3.4000000000000004,2.333333333333333,1.3333333333333333,2.2,3
R_24wP9x4BX9UXrPg,4.222222222222222,12,25,2.052631578947368,4.0769230769230775,2.6,2.5,4,2,5,3.111111111111111,12,25,2.4736842105263155,4.307692307692308,5,1.1666666666666665,3.3333333333333335,3.4,2
R_3mZPUKwKUbR9BQs,3.6666666666666665,17,22,1.2105263157894737,3.076923076923077,1.2000000000000002,2,1.6666666666666667,4,3,3.3333333333333335,18,24,2.263157894736842,3.6153846153846154,3.8000000000000003,1.8333333333333333,3,3,4
R_riLcyDLvqh7oPkt,4.222222222222222,11,24,3.578947368421052,4.461538461538462,3.6,1.5,5.333333333333333,3.2,5,3.7777777777777777,14,20,2.9473684210526314,3.7692307692307696,4.2,2.1666666666666665,4.666666666666667,3.8,4
R_0wwejUDiiZtXdSN,4,18,31,3.052631578947368,3.384615384615385,3,1,4.666666666666667,2.4,5,3.3333333333333335,20,31,2.3684210526315788,3.6923076923076925,3.4000000000000004,1.3333333333333333,5,2.2,4
R_23pUfPsTfVBuiLD,3.4444444444444446,20,24,2.4736842105263155,3.5384615384615388,2.8000000000000003,1.5,3.6666666666666665,2,5,3.3333333333333335,21,23,2.1578947368421053,3.384615384615385,2.2,1.1666666666666665,4,2,4
R_2ZQrmJHLA0e7r89,4.777777777777778,13,23,4.368421052631579,4.538461538461538,5,1.6666666666666665,5.333333333333333,1.2,4,4.111111111111111,10,15,4.473684210526316,4.461538461538462,4.6000000000000005,2,5.333333333333333,4.8,5
R_299X4U79WXPDPpz,4.333333333333333,9,34,4.578947368421052,4.769230769230769,5,1,5,6,4,3.6666666666666665,8,33,1.3157894736842104,3.6923076923076925,2.2,1,2.3333333333333335,3,3
R_2zhZdvmWQjiH5Mv,2.7777777777777777,14,28,1.4736842105263157,3.6153846153846154,1.2000000000000002,2.333333333333333,4,1.4,4,2.5555555555555554,15,27,1.3684210526315788,4.307692307692308,3.6,2.1666666666666665,3,1.8,4
R_1PdWnhWgSivhvr0,4,13,25,2.4210526315789473,3.5384615384615388,1,1.8333333333333333,4.666666666666667,4.2,5,3.2222222222222223,24,27,2.3157894736842106,4.384615384615385,4.800000000000001,2.1666666666666665,4,1.8,4
R_20trsLdqyYirjEN,4.333333333333333,9,33,3.578947368421052,3.8461538461538463,3.8000000000000003,1,4,3.4,5,3.4444444444444446,19,30,3,3.6923076923076925,4.4,1.5,3.3333333333333335,2.2,4
R_2By9pNa8TRq3tLU,3.6666666666666665,12,14,3.3684210526315788,4.769230769230769,3.2,2.5,6,4.2,5,3.888888888888889,15,24,3.7368421052631575,4.846153846153847,4.6000000000000005,2,6,3,4
R_33as1lK2rW9vlhs,3.2222222222222223,10,30,1.6842105263157894,3.384615384615385,2.6,2,3.6666666666666665,3.8,5,3.2222222222222223,11,32,1.6842105263157894,3.9230769230769234,3.6,1.1666666666666665,2,2.6,3
R_27OH7pjEp7dZS1e,4.333333333333333,8,23,3.578947368421052,4.6923076923076925,3,1.6666666666666665,2.6666666666666665,4.8,5,3.7777777777777777,15,21,3.578947368421052,4.461538461538462,5,1.5,3.6666666666666665,4,5
R_WAHXb9l8zCzqrzb,4.666666666666667,16,23,4.2105263157894735,4.230769230769231,4.4,4,5.333333333333333,1.8,4,4.333333333333333,18,20,4.315789473684211,4.538461538461538,4,4.333333333333333,4.333333333333333,5.8,4
R_puEZFno9AvUrDih,3.3333333333333335,13,26,1.263157894736842,2.6923076923076925,1.6,2.333333333333333,1,4,4,3.111111111111111,13,24,1.0526315789473684,3.5384615384615388,1,2.333333333333333,1,1,4
R_783i4b0jphpnVoB,3.3333333333333335,20,31,3.1052631578947367,4.6923076923076925,3.6,1.5,6.333333333333333,2.8,5,2.888888888888889,12,29,2.2105263157894735,4.538461538461538,2.6,1.5,4.333333333333333,2.8,4
R_1QLCnFIAXi8NUoQ,2.888888888888889,13,19,1.3684210526315788,2.5384615384615388,1.4000000000000001,1.6666666666666665,2,3.2,4,3.3333333333333335,13,23,1.2105263157894737,2.3846153846153846,2.4000000000000004,1.5,1,1,4
R_2tMya8CeWv0ECNi,4.555555555555555,13,32,4,4.307692307692308,4,2,7,5.8,5,4.333333333333333,15,25,3.894736842105263,4.0769230769230775,4,2.1666666666666665,5.666666666666667,4.4,5
R_41K6YPz1Nc7qcdr,4.666666666666667,17,25,3.4736842105263155,4,3,2.333333333333333,4.666666666666667,3.4,5,3.4444444444444446,17,23,2.631578947368421,4,3.6,2,4,3.2,4
R_1DOrjMbvRWBptdS,3.4444444444444446,12,24,2.8421052631578947,3.9230769230769234,3,1.6666666666666665,4.666666666666667,4.6,5,3,18,25,1.789473684210526,3.6923076923076925,2.8000000000000003,1.5,2.6666666666666665,2.6,3
R_pSLpsNxaUCm8F1f,3.888888888888889,16,26,3.3684210526315788,4,3.6,2.333333333333333,3.6666666666666665,4.2,5,3.5555555555555554,18,25,2.8421052631578947,3.7692307692307696,3.2,2.333333333333333,3.6666666666666665,3.8,4
R_2TmIZKhvBrtNuay,3.6666666666666665,18,26,1.7368421052631577,3.8461538461538463,1,2.6666666666666665,2,2,5,2.6666666666666665,17,24,2.3157894736842106,4,2.2,3.1666666666666665,3.3333333333333335,2.6,4
R_26nDw2a9KP9n0TL,4,11,29,2.4736842105263155,3.6923076923076925,1.6,1.8333333333333333,2,3.8,5,3.3333333333333335,17,31,1.4736842105263157,3.5384615384615388,3.8000000000000003,2.333333333333333,2.6666666666666665,3.4,2
R_1f7XeULbsOTDnwi,2.888888888888889,20,20,2.263157894736842,3.7692307692307696,2.8000000000000003,2.5,4.333333333333333,4.6,4,2.7777777777777777,14,22,1.263157894736842,3.076923076923077,2,2,2.3333333333333335,3.2,4
R_2cngqYVii9blorH,3.888888888888889,17,22,3.526315789473684,4.384615384615385,3.6,3.1666666666666665,6.333333333333333,3.4,5,3.6666666666666665,14,22,3.3684210526315788,3.9230769230769234,3.4000000000000004,2.5,4,4.6,3
R_CjHHR9feMI5m5tn,4.444444444444445,11,30,3.1052631578947367,4.230769230769231,2.6,2,5.666666666666667,3.4,4,3.3333333333333335,32,35,1.263157894736842,4.230769230769231,2,1.3333333333333333,NA,2.2,3
R_3CQ1cCmlR3KBkI1,4,19,23,4,4.230769230769231,4,2,5,4.4,4,3.6666666666666665,19,21,3.1578947368421053,3.5384615384615388,3,2.1666666666666665,4.333333333333333,4,3
R_SAGpFCseRCtR0zL,3.7777777777777777,13,31,3.578947368421052,4.384615384615385,2.4000000000000004,2.1666666666666665,3.6666666666666665,4.8,5,3,14,32,1.263157894736842,2.9230769230769234,3.6,1.5,1,2.6,3
R_30nJua3MX51CRoe,4.222222222222222,7,22,4,4.230769230769231,4.800000000000001,4.166666666666666,3.6666666666666665,3.2,3,3,32,33,3.1052631578947367,4.6923076923076925,4.2,4,4.666666666666667,3.8,5
R_1OoXVfGtAZCz6rq,NA,15,22,NA,NA,NA,NA,NA,3.6,4,4.222222222222222,19,17,3.2105263157894735,3.9230769230769234,2.8000000000000003,1.8333333333333333,6,2.4,3
R_2akkO6Q5nSx7Jzb,3.7777777777777777,17,25,2.3684210526315788,3.6923076923076925,3,2.1666666666666665,3,2.6,5,NA,NA,NA,3.578947368421052,4.230769230769231,4,2.333333333333333,NA,2.2,2
R_3e35kPpxsq9IcXf,3.6666666666666665,15,21,2.3157894736842106,3.6153846153846154,2,3.333333333333333,5.333333333333333,6.2,5,3.5555555555555554,22,22,2.631578947368421,4.769230769230769,2.8000000000000003,3.5,5.333333333333333,3,5
R_1plgDgkDeRJrDdF,3,20,20,3,3,3,3,4,4,4,3,20,20,3,3,3,3,4,3,4
